Unit A,Unit B
6.809,6.7703
6.4376,7.5093
6.9157,6.73
7.3012,6.7878
7.4488,7.1522
7.3871,6.811
6.8755,7.2212
7.0621,6.6606
6.684,7.2402
6.8236,7.0503
7.393,6.881
7.5169,7.4059
6.9246,6.7652
6.9256,6.038
6.5797,7.1581
6.8394,7.024
6.597,6.6672
7.2705,7.4314
7.2828,7.307
7.3495,6.7478
6.9438,6.8889
7.156,7.422
6.5341,6.5217
7.2854,7.1688
6.9952,6.7594
6.8568,6.9399
7.2163,7.0133
6.6801,6.9182
6.9431,6.3346
7.0852,7.5459
6.7794,7.0992
7.2783,7.118
7.1561,6.6965
7.3943,6.578
6.9405,7.3875
