work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,numero,salary_in_usd,salary_last_dollar_value,salary_pay_cripto,salary_%_cripto,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_boot_camp,profile_boot_camp_carrer,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,profile_age,profile_gender
Argentina,Catamarca,Full-Time,Staff (planta permanente),300000.0,245000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida",2,Infosec,10.0,0.0,0.0,0.0,"Amazon Web Services, Linux, VMWare",Python,Ninguno de los anteriores,ElasticSearch,"Postman, Visual Studio Coded UI",De 101 a 200 personas,100% remoto,0,8,Universitario,Completo,Licenciatura en redes y comunicación de datos,UP - Universidad de Palermo,,,,,,35,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),900000.0,850000.0,TRUE,Cobro todo el salario en dólares,300,,,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,Developer,2.0,2.0,2.0,0.0,Amazon Web Services,"CSS, HTML, Java, Javascript, SQL, TypeScript",React.js,PostgreSQL,Cypress,De 51 a 100 personas,100% remoto,0,10,,,,,,,,,,31,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),120000.0,115000.0,TRUE,,,,,Un sueldo,Performance de la compañía,Dos,20,Marzo,2,Horarios flexibles,1,Developer,2.0,1.6,1.6,0.0,Amazon Web Services,"Javascript, PHP, Python","Flask, Laravel, Vue.js",MariaDB,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,5,,,,,,,,,,27,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),440000.0,0.0,TRUE,Cobro todo el salario en dólares,220,Cobro todo el salario criptomonedas,100%,No,No recibo bono,Uno,54,Febrero,3,Ninguna de las anteriores,4,Developer,1.0,0.0,1.0,0.0,"Firebase, Serverless","Javascript, TypeScript","Node.js, React.js","ElasticSearch, MongoDB",Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,0,,,,,,,,,,21,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),140000.0,125000.0,TRUE,,,,,No,No recibo bono,Uno,15,Junio,2,Vacaciones flexibles (adicionales a las reglamentarias),2,Developer,1.0,0.0,0.0,0.0,Amazon Web Services,"CSS, HTML, Javascript",React.js,MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,0,,,,,,,,,,32,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),633000.0,395000.0,TRUE,Cobro parte del salario en dólares,,,,De uno a tres sueldos,Performance individual,Uno,25,Mayo,3,Abono de Internet,3,Technical Leader,6.0,2.0,1.0,0.0,"Amazon Web Services, Docker, Firebase, Linux, Serverless","Go, Java",GinGonic,"Amazon DynamoDB, Amazon RDS/Aurora","Postman, Gingko",De 1001 a 2000 personas,100% remoto,0,7,Universitario,Completo,Licenciatura en Sistemas de Información,UNNE - Universidad Nacional Del Nordeste,,,,,,31,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),110000.0,90000.0,TRUE,Mi sueldo está dolarizado (pero cobro en moneda local),125,,,No,No recibo bono,Uno,3,Abril,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",1,QA / Tester,1.0,1.0,1.0,0.0,Ninguna de las anteriores,Java,Ninguno de los anteriores,Ninguna de las anteriores,"Cucumber, JUnit, Postman, Selenium, SoapUI",Más de 10000 personas,100% remoto,0,7,Terciario,Incompleto,Tecnicatura en Programación,Instituto Barranqueras,Informatorio Chaco,Programación web,No,0.0,Porcentaje de mi sueldo bruto,33,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),157000.0,127000.0,TRUE,,,,,Menos de un sueldo,Performance individual,Más de tres,5,Junio,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,3.0,2.0,2.0,0.0,Windows Server,"HTML, Javascript, SQL, TypeScript","Bootstrap, Next.js, Node.js, React.js",Microsoft SQL Server,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,9,Universitario,Completo,Licenciatura en Administración,UCP - Universidad de la Cuenca del Plata,,,No,0.0,Bruto,35,Varón Cis
Argentina,Chaco,Part-Time,Staff (planta permanente),55000.0,45650.0,TRUE,,,,,No,No recibo bono,Uno,18,Junio,2,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",2,QA / Tester,0.0,0.0,0.0,0.0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"MySQL, PostgreSQL","Lippia, Postman",De 51 a 100 personas,100% remoto,0,7,Universitario,En curso,Ingeniería en Sistemas de Información,UNCAus,crowdar,Qa Analyst,,,,28,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),190000.0,178000.0,TRUE,Cobro todo el salario en dólares,,,,Menos de un sueldo,Performance individual,Uno,30,Julio,4,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,QA / Tester,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Java,Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Selenium",De 51 a 100 personas,100% remoto,0,8,Universitario,Incompleto,Ingeniería en Sistemas de Información,,,,,,,29,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),242000.0,202029.0,TRUE,Mi sueldo está dolarizado (pero cobro en moneda local),132,,,Menos de un sueldo,Performance individual,Uno,27%,Enero,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,QA / Tester,3.0,1.0,3.0,0.0,Linux,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,De 201 a 500 personas,100% remoto,0,9,Universitario,En curso,Electromecánica,UTN - Universidad Tecnológica Nacional,,Informatorio,No,0.0,Porcentaje de mi sueldo bruto,30,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),280000.0,180000.0,TRUE,,,,,Menos de un sueldo,Mix de las anteriores,Uno,14%,Abril,1,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",2,Sales / Pre-Sales,25.0,30.0,19.0,0.0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,9,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,,,,,56,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),329850.0,315000.0,TRUE,Cobro parte del salario en dólares,,,,Menos de un sueldo,Performance grupal,Uno,15,Abril,3,"Capacitaciones y/o cursos, Clases de idiomas, Viáticos",3,Developer,17.0,3.0,3.0,0.0,Azure,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,10,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Porcentaje de mi sueldo bruto,45,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),625000.0,625000.0,TRUE,Cobro todo el salario en dólares,250,,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Stock options / RSUs",2,Data Engineer,1.0,0.0,0.0,0.0,"Amazon Web Services, Docker, Linux, Snowflake,dbt,fivetran,redshift","Bash/Shell, Python, SQL","Flask, Spark","Amazon DynamoDB, Amazon Redshift, MariaDB, MongoDB, MySQL, PostgreSQL, SQLite, Snowflake","Postman, Pytest, Great Expectations",De 101 a 200 personas,100% remoto,0,8,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,,,23,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),222500.0,180700.0,TRUE,,,,,De uno a tres sueldos,"performance individual, grupal y de la compañía ",No,0,No tuve,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",3,Developer,0.0,0.0,0.0,0.0,Ninguna de las anteriores,"Groovy, Java, Javascript","Node.js, Spark, Spring",Ninguna de las anteriores,JUnit,De 2 a 10 personas,100% remoto,0,9,Universitario,En curso,ingeniería electromecánica,UTN - Universidad Tecnológica Nacional,"informatorio, codo a codo, digital house",Java backend,No,0.0,Porcentaje de mi sueldo bruto,25,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),380000.0,317000.0,TRUE,Cobro todo el salario en dólares,,,,No,No recibo bono,Uno,7,Enero,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",3,Developer,4.0,2.0,2.0,0.0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, HTML, Javascript, PHP, Python, TypeScript","Angular, Laravel, Next.js, Node.js","MariaDB, PostgreSQL","Cucumber, Cypress, Jest, Selenium",De 101 a 200 personas,100% remoto,0,7,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,,,29,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),156000.0,150000.0,TRUE,,,,,No,No recibo bono,Uno,23,Marzo,3,"Clases de idiomas, Horarios flexibles",3,Developer,5.0,1.0,1.0,0.0,Docker,"HTML, Javascript, PHP, SQL","Bootstrap, Laravel","MariaDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,8,Universitario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,,,,,,29,Varón Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),200000.0,176000.0,TRUE,,,,,No,No recibo bono,Dos,30,Febrero,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Licencia por nacimiento extendida",3,Developer,5.0,1.0,1.0,0.0,Ninguna de las anteriores,".NET, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,6,,,,,,,,,,33,Varón Cis
Argentina,Chaco,Part-Time,Tercerizado (trabajo a través de consultora o agencia),50000.0,45000.0,TRUE,Mi sueldo está dolarizado (pero cobro en moneda local),250,,,No,No recibo bono,No,0,No tuve,1,Horarios flexibles,1,Trainee,1.0,0.0,0.0,0.0,Google,"CSS, HTML, Java, Python, SQL","Django, Spring","Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL",Postman,1 (solamente yo),100% remoto,0,0,,,,,,,,,,43,Varón Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),300000.0,200000.0,TRUE,Cobro parte del salario en dólares,,,,No,No recibo bono,Uno,8,Marzo,2,"Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",2,Developer,5.0,1.0,4.0,0.0,"Amazon Web Services, Docker, Linux","Python, SQL",Django,PostgreSQL,Postman,De 2001a 5000 personas,100% remoto,0,7,,,,,,,,,,24,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),166000.0,227000.0,TRUE,Cobro parte del salario en dólares,,,,No,No recibo bono,Dos,13,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,QA / Tester,5.0,2.0,2.0,0.0,Azure,SQL,Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, MySQL","Katalon, Postman, Test Complete, TFS",De 1001 a 2000 personas,100% remoto,0,8,,,,,,,,,,34,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),190000.0,156000.0,TRUE,Cobro parte del salario en dólares,220,,,No,No recibo bono,Uno,37,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina",2,QA / Tester,2.0,2.0,2.0,0.0,"Google Cloud Platform, Linux, Grafana","Java, Javascript, Groovy","Node.js, React.js, Spring",MongoDB,"Appium, Cucumber, JUnit, Postman, Selenium, WebDriver.IO,",Más de 10000 personas,Híbrido (presencial y remoto),4,10,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,--,,,,25,Varón Cis
