work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,¿En qué mes fue el último ajuste?,salary_comparison_last_semester,¿Contás con beneficios adicionales?,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,profile_studies_level,profile_studies_level_state,profile_career,Institución educativa,¿Salir o seguir contestando sobre las guardias?,work_on_call_duty,salary_on_call_duty_charge,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,profile_age,profile_gender
Argentina,Catamarca,Full-Time,Staff (planta permanente),680000.0,520000.0,,,No,No recibo bono,Uno,26.0,Abril,2,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,Infosec,10.0,1.0,1.0,0,"Amazon Web Services, Linux","Bash/Shell, Python",Angular,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,5,0,Terminar encuesta,,,,,,,,,,36,Varón Cis
Argentina,Catamarca,Full-Time,Staff (planta permanente),650000.0,520000.0,,,No,No recibo bono,Dos,24.0,Mayo,2,Ninguna de las anteriores,3,DevOps Engineer,23.0,2.0,2.0,4,"Docker, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, CSS, HTML, Javascript, PHP, SQL, TypeScript, VBA","Angular, Bootstrap, jQuery, Laravel, Node.js","MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL","PHPUnit, Postman",De 201 a 500 personas,100% presencial,0,4,1,Responder sobre mis estudios,Maestría,Completo,Licenciatura en Sistemas de Información,Universidad Siglo 21,Terminar encuesta,,,,,45,Varón Cis
Argentina,Catamarca,Full-Time,Staff (planta permanente),125000.0,104000.0,,,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, ",3,Developer,0.0,0.0,0.0,0,Ninguna de las anteriores,"SQL, Oracle APEX, PL-SQL, SQL Developer",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,10,3,Terminar encuesta,,,,,,,,,,29,Mujer Cis
Argentina,Chaco,Part-Time,Staff (planta permanente),190000.0,240000.0,,,No,No recibo bono,Dos,11.0,Mayo,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Sueldo dividido en dos pagos por mes",2,Business Analyst,2.0,2.0,0.0,0,"Azure, SAP, CRM",ABAP,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,7,3,Terminar encuesta,,,,,,,,,,23,Mujer Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),250000.0,207000.0,,,No,No recibo bono,Dos,60.0,Mayo,1,Ninguna de las anteriores,1,QA / Tester,3.0,0.0,0.0,1,"Docker, Linux",Java,Lippia,Ninguna de las anteriores,"Appium, Cucumber, Lippia, Selenium",De 51 a 100 personas,100% remoto,0,7,2,Terminar encuesta,,,,,,,,,,32,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),276000.0,229000.0,,,No,No recibo bono,Uno,27.0,Marzo,3,"Capacitaciones y/o cursos, Horarios flexibles",2,Data Engineer,1.0,1.0,1.0,0,Amazon Web Services,"Python, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,3,3,Responder sobre mis estudios,Universitario,Completo,Analista Universitario de Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,28,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),340000.0,250000.0,,,No,No recibo bono,Uno,70.0,Mayo,1,Ninguna de las anteriores,2,Developer,2.0,2.0,1.0,0,"Docker, Linux","CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","MongoDB, MySQL","Jest, Postman",De 2 a 10 personas,100% remoto,0,7,2,Terminar encuesta,,,,,,,,,,28,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),364000.0,312000.0,,,Un sueldo,Performance de la compañía,Dos,27.0,Abril,3,"Abono de Internet, Clases de idiomas, Horarios flexibles",3,Business Analyst,11.0,2.0,8.0,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL","Postman, SoapUI",De 201 a 500 personas,100% remoto,0,7,1,Responder sobre mis estudios,Maestría,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,34,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),509000.0,360000.0,Cobro todo el salario en dólares,,Menos de un sueldo,Performance grupal,Uno,8.0,Enero,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,Developer,4.0,3.0,3.0,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, HTML, Javascript, PHP","Angular, Flask, Laravel, Node.js","MySQL, PostgreSQL","Cucumber, Cypress, Jest, Postman, Puppeteer, Selenium",De 201 a 500 personas,100% remoto,0,7,1,Terminar encuesta,,,,,,,,,,30,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),426000.0,354000.0,,,No,No recibo bono,Uno,12.0,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",3,Developer,20.0,0.0,0.0,0,"Docker, Linux","HTML, Javascript, PHP",Framework propio de la empresa,MySQL,"PHPUnit, Libreria Facker propia de la empresa",De 101 a 200 personas,100% remoto,0,8,0,Terminar encuesta,,,,,,,,,,52,Varón Cis
