Unnamed: 0,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,estas_buscando_trabajo,pluriempleo,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,opcionalen_que_empresaorganizacion_estas_trabajando,company_recommended,tools_copilotchatgpt,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,profile_age,profile_gender,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
0,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),6500000.0,5800000.0,Cobro parte del salario en dólares,,De uno a tres sueldos,Performance de la compañía,Más de tres,150.0,Octubre,3,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",,Manager / Director,20,14,8,40,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),2,,,8,5,,Terminar encuesta,,,,,,,,,45,Hombre Cis,Sí,True,Senior,6500000.0
1,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,12700000.0,10200000.0,Cobro todo el salario en dólares,,Un sueldo,Performance de la compañía,No,0.0,No tuve,2,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, estoy muy conforme.",,Technical Leader,12,3,2,2,"Amazon Web Services, Google Cloud Platform","CSS, HTML, Java, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js",Google Cloud Storage,"Jest, mabl",De 51 a 100 personas,Híbrido (presencial y remoto),0,No,,8,5,,Responder sobre guardias,Universitario,Incompleto,Diseño Multimedial,UADE - Universidad Argentina De la Empresa,Terminar encuesta,No,0.0,Bruto,32,Mujer Cis,Sí,True,Senior,12700000.0
2,Córdoba,Full-Time,Staff (planta permanente),3952805.0,3137662.0,Cobro parte del salario en dólares,985,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas",3,"No, pero escucho ofertas.",,Data Engineer,3,3,1,2,snowflake,SQL,Ninguno de los anteriores,snowflake,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,,0,2,,Terminar encuesta,,,,,,,,,29,Hombre Cis,Sí,True,Semi-Senior,3952805.0
3,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1606000.0,1360000.0,Cobro parte del salario en dólares,1004,No,No recibo bono,Más de tres,100.0,Septiembre,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,5,2,2,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, Python",Ninguno de los anteriores,MariaDB,"PHPUnit, Selenium",De 1001 a 2000 personas,100% remoto,0,,,7,0,,Terminar encuesta,,,,,,,,,25,Hombre Cis,Sí,True,Semi-Senior,1606000.0
4,Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1325301.0,,Cobro parte del salario en dólares,,No,No recibo bono,Uno,25.0,Febrero,2,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,6,4,2,0,"Amazon Web Services, Azure, *BSD, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"ElasticSearch, Microsoft SQL Server, PostgreSQL, Redis",Postman,De 101 a 200 personas,100% remoto,0,No,Rooftop,7,3,,Responder sobre mis estudios,Secundario,Completo,Técnique Secundario en Programación,,Terminar encuesta,,,,22,Hombre Cis,Sí,True,Senior,1325301.0
5,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2670205.0,2167989.0,Cobro parte del salario en dólares,986,No,No recibo bono,Más de tres,50.0,Octubre,4,"Abono de celular, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Technical Support,28,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,"Si la inflación era superior al 10% se aplicaba ese porcentaje en el mes. Si la inflacion del mes es inferior al 10%, se aumenta el porcentaje acumulado cada 3 meses.",Perficient,10,2,,Responder sobre guardias,Secundario,Completo,Tecnicatura Electrónica,,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,48,Hombre Cis,Sí,True,Senior,2670205.0
6,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,4000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Consultant,25,3,3,5,"Amazon Web Services, Azure, Serverless",".NET, Python, SQL",".NET Core, WordPress","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,no,,9,5,,Responder sobre mis estudios,Maestría,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Bruto,50,Hombre Cis,Sí,True,Senior,4000000.0
7,Córdoba,Full-Time,Staff (planta permanente),4200000.0,3600000.0,Cobro parte del salario en dólares,1070,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"No, pero escucho ofertas.",,Manager / Director,15,1,0,12,"Amazon Web Services, Docker, Kubernetes, Linux, Microcontroladores","C++, Python","Django, TensorFlow",Influx,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,,2,2,,Responder sobre mis estudios,Universitario,Completo,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,43,Hombre Cis,Sí,True,Senior,4200000.0
8,Buenos Aires,Full-Time,Freelance,3000000.0,2000000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1150,No,No recibo bono,Más de tres,180.0,Noviembre,3,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,Architect,18,8,6,0,"Linux, Windows Server, Mikrotik","HTML, PHP",WordPress,"MySQL, SQLite",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,Ajusto yo mi tarifa de hora por el IPC,Urbana IT,10,0,Puedo combinar los tiempos con mi familia.,Terminar encuesta,,,,,,,,,41,Hombre Cis,No,True,Senior,3000000.0
9,Buenos Aires,Full-Time,Staff (planta permanente),3953142.06,3258576.49,Mi sueldo está dolarizado (pero cobro en moneda local),,Un sueldo,Performance de la compañía,Más de tres,62.0,Noviembre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Data Engineer,15,5,4,3,"Azure, Google Cloud Platform, Linux","Bash/Shell, Python, SQL",Ninguno de los anteriores,"MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,sube lo que sube el dolar oficial del MULC,NEWFOLD Digital,7,0,,Terminar encuesta,,,,,,,,,47,Hombre Cis,Sí,True,Senior,3953142.06
10,Santa Fe,Full-Time,Staff (planta permanente),3100000.0,,Cobro parte del salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Stock options / RSUs",3,"No, estoy muy conforme.",,BI Analyst / Data Analyst,12,0,0,0,SAP,"ABAP, Python, SQL","SAP, SAP Hana, datasphere",HANA,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Globant,8,2,,Terminar encuesta,,,,,,,,,40,Hombre Cis,Sí,True,Senior,3100000.0
11,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1212500.0,2071375.0,Mi sueldo está dolarizado (pero cobro en moneda local),,No,Performance de la compañía,No,0.0,No tuve,2,Abono de Internet,2,"Sí, estoy buscando activamente.",,Designer,10,10,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),0,No,Aerolab,5,2,,Terminar encuesta,,,,,,,,,28,Hombre Cis,Sí,True,Senior,1212500.0
12,Buenos Aires,Full-Time,Staff (planta permanente),6360000.0,4780000.0,Cobro parte del salario en dólares,967,No,No recibo bono,Más de tres,180.0,Noviembre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Manager / Director,18,8,2,20,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript","Next.js, Node.js, React.js",MongoDB,Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),5,"Si, revisión y ajustes cada 4 meses aprox",,7,0,"Como Engineering Manager trabajo en el staff de los mejores equipos segun skills y projectos disponibles y deseos de carrera, superviso el delivery tecnico del equipo de desarrollo y su desarrollo de carrera.Genero iniciativas en la empresa y en el cliente, como por ejemplo trainings, nuevos negocios/proyectos, mejora de procesos, etc",Responder sobre guardias,Universitario,Completo,Ingeniería en Informática,,Terminar encuesta,"Sí, pasiva",1300000.0,Bruto,40,Hombre Cis,No,True,Senior,6360000.0
13,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3318356.0,2662651.0,Cobro parte del salario en dólares,1090,No,No recibo bono,Más de tres,77.0,Octubre,3,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Manager / Director,16,7,2,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,Por inflación,InvGate,7,3,,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,34,Hombre Cis,Sí,True,Senior,3318356.0
14,Córdoba,Full-Time,Contractor,1800000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),1100,No,No recibo bono,No,0.0,No tuve,2,Capacitaciones y/o cursos,1,"No, pero escucho ofertas.",,Developer,15,5,5,0,"Azure, Docker",".NET, Bash/Shell, C#, Javascript, SQL, TypeScript",".NET Core, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Redis","Postman, Xunit",De 51 a 100 personas,Híbrido (presencial y remoto),2,No,,0,5,,Terminar encuesta,,,,,,,,,53,Hombre Cis,Sí,True,Senior,1800000.0
15,Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,,Cobro todo el salario en dólares,1080,Menos de un sueldo,Performance individual,No,0.0,No tuve,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Architect,18,9,10,2,"Azure, Docker, Linux, Windows Server",".NET, C#, CSS, Javascript, SQL, TypeScript",".NET Core, jQuery, Next.js, React.js","Microsoft SQL Server, PostgreSQL","Cypress, Jest, NUnit, Postman, Puppeteer",De 2 a 10 personas,100% presencial,0,no,,9,3,,Terminar encuesta,,,,,,,,,37,Hombre Cis,No,True,Senior,3300000.0
