work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,work_looking_for_job,profile_various_jobs,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,salary_inflation_policy,company_reduction_of_employees,company_recommended,tools_copilotchatgpt,vibe_coding,tools_ide_ia,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,company_max_interview,company_best_interview,profile_prefered_challenges,profile_hours_per_day,company_selection_process,salir_o_seguir_contestando_sobre_las_guardias1,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,profile_age,profile_gender,profile_previous_survey,company_best_companies,sueldo_dolarizado,work_seniority,_sal
Mendoza,Full-Time,Staff (planta permanente),3000000.0,2400000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1300,No,Performance individual,No,0.0,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,"No, pero escucho ofertas.",,Developer,15,3,3,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless, Windows Server",".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",".NET Core, Bootstrap, Hibernate, jQuery, Next.js, Node.js, React.js, Spring, Vue.js","Amazon DynamoDB, ElasticSearch, Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL","JUnit, Selenium",De 1001 a 2000 personas,Híbrido (presencial y remoto),4,,Sí,3,3,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,45,Mujer Cis,Sí,,True,Senior,3000000.0
Santa Fe,Full-Time,Contractor,5000000.0,5000000.0,Cobro todo el salario en dólares,1400,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",,Developer,25,12,12,1,Ninguna de las anteriores,".NET, C#, HTML, Javascript, SQL",".NET Core, Bootstrap, Node.js, Vue.js",Microsoft SQL Server,Postman,De 51 a 100 personas,100% remoto,0,,No,10,4,Vibequé?,No,,Terminar encuesta,,,,,,,,,,,,,,,,50,Mujer Cis,Sí,,True,Senior,5000000.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4600000.0,3600000.0,Cobro parte del salario en dólares,1436,No,No recibo bono,Uno,6.0,Diciembre,3,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,7,1,7,0,Amazon Web Services,"Go, SQL",Flutter,Amazon RDS/Aurora,Postman,De 51 a 100 personas,100% remoto,0,"si, 6 % en diciembre",No,9,5,Llegó para quedarse,goland y visual studio con copilot,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Responder sobre entrevistas técnicas,Hasta 2,"HR, Técnica - Diseño & Arquitectura","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,36,Mujer Cis,Sí,,True,Senior,4600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7800000.0,6000000.0,Cobro parte del salario en dólares,1470,3+ sueldos,Mix de las anteriores,No,0.0,No tuve,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Lactario en la oficina",1,"Sí, estoy buscando activamente.",,Manager / Director,25,6,6,80,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),3,No,Sí,2,4,Llegó para quedarse,,,Terminar encuesta,,,,,,,,,,,,,,,,60,Hombre Cis,Sí,,True,Senior,7800000.0
Jujuy,Full-Time,Contractor,3500000.0,3200000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,3,0,0,1,"Amazon Web Services, Google Cloud Platform, Kubernetes, Linux, OpenShift","Bash/Shell, Python",Flask,"MySQL, Oracle, PostgreSQL",Postman,De 51 a 100 personas,100% remoto,0,,No sé,1,4,Vibequé?,No,"Me tienen cómo junior, pero trabajo como senior, y hay mucha desorganización ",Terminar encuesta,,,,,,,,,,,,,,,,29,Hombre Cis,Sí,Nose,True,Semi-Senior,3500000.0
Corrientes,Part-Time,Contractor,400000.0,400000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1450,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,Developer,1,0,0,0,Firebase,React Native,Expo,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,,No sé,10,5,Hype,SI,NO,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Sistemas de Información,UNNNE - Universidad Nacional del Nordeste,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,22,Hombre Cis,No,"Devligths, Banco de Corrientes, Poder Judicial",True,Junior,400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8460000.0,7200000.0,Cobro todo el salario en dólares,6000,De uno a tres sueldos,Performance de la compañía,Uno,5.0,Octubre,3,"Horarios flexibles, Viáticos",3,"Sí, estoy buscando activamente.",,Manager / Director,19,0,3,15,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, Windows Server",".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",".NET Core, Angular, React.js, Spring","Amazon DynamoDB, Google Cloud Storage, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle, Redis","JUnit, Mocha, Postman, Selenium",De 51 a 100 personas,100% remoto,0,si,Sí,5,5,Llegó para quedarse,si,"trabajo como contractor, pero preferiría relación de dependencia directa",Responder sobre entrevistas técnicas,Universitario,En curso,Licenciatura en Sistemas de Información,,Terminar encuesta,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 6 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre guardias,No,0.0,Bruto,Responder sobre mis estudios,47,Hombre Cis,Sí,"COELSA, Mercado Libre, Santander Tecnología",True,Senior,8460000.0
Buenos Aires,Full-Time,Contractor,6400000.0,6400000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Viáticos",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,4,0,0,0,"Amazon Web Services, Docker, Kubernetes, Linux","Go, PHP, Python, SQL",Hibernate,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL, Redis",Postman,De 101 a 200 personas,100% remoto,0,,Sí,6,5,Llegó para quedarse,Cursor,,Responder sobre guardias,Universitario,En curso,Ingeniería en Computación,UNS - Universidad Nacional del Sur,Responder sobre entrevistas técnicas,Hasta 2,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,"Sí, pasiva",10.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,29,Hombre Cis,Sí,,True,Semi-Senior,6400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2500000.0,Mi sueldo está dolarizado (pero cobro en moneda local),no está dolarizado cobro en peso.,Menos de un sueldo,Performance de la compañía,Más de tres,30.0,Noviembre,3,"Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias), días flex, ",3,"Sí, estoy buscando activamente.",,Functional Analyst,5,2,2,0,Windows Server,".NET, CSS, HTML, Javascript, Swift",jQuery,Microsoft SQL Server,Visual Studio Coded UI,De 501 a 1000 personas,Híbrido (presencial y remoto),4,"Si, ajuste por inflacion mensual.",No sé,0,5,Vibequé?,no,,Responder sobre entrevistas técnicas,Universitario,Completo,Ingeniería Industrial,ORT,Responder sobre guardias,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres","Más de 8 horas, sin problemas","Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre mis estudios,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,40,Mujer Cis,Sí,"Lemón, Salesforce y otras",True,Semi-Senior,3000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6075000.0,6075000.0,Cobro todo el salario en dólares,,No,No recibo bono,Uno,3.0,Noviembre,3,Horarios flexibles,4,"No, pero escucho ofertas.",,HRBP,7,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,10,5,Llegó para quedarse,,,Terminar encuesta,,,,,,,,,,,,,,,,30,Mujer Cis,Sí,,True,Senior,6075000.0
